authors,title,conference,date start,date end,city,country,kind (invited / oral / poster),presentation number
"T. Kurosawa, M. Hasuo, S. Ohdachi, K. Fujii","Bayesian Electron Density Inference in LHD with High Temporal
and Spatial Resolutions From Two Complementary Diagnostics", 2nd International Conference on Data-Driven Plasma Science,2019/05/13,2019/05/17,Marseille,France,poster,
"K. Fujii, J. Crespo", Statistical completion and validation of the NIST Atomic Spectral Database, DPG annual conference (Rostock 2019),2019/03/11,2019/03/15,Rostock,Germany,oral,
K. Fujii, Electron Density Estimation from Multichannel Laser Interferometer Measurement in LHD with Systematic Bias Compensation, 3rd IAEA Technical Meeting on Fusion Data Processing Validation and Analysis,2019/05/28,2019/05/31, Vienna,Austria,oral,
K. Fujii, Statistical Completion and Validation of Atomic Energy Level Database Based on Low Rank Nature of Isoelectronic Sequence, 2nd International Conference on Data-Driven Plasma Science,2019/05/13,2019/05/17,Marseille,France,poster,
K. Fujii, Automatic Fusion Plasma Data Analysis based on Bayesian Statistics, 1st International Conference on Data-Driven Plasma Science,2018/06/11,2018/06/13,York,United Kingdom,oral,
"K. Fujii, C. Suzuki, M. Hasuo", Automatic Robust Regression Analysis of Fusion Plasma Experiment Data based on Generative Modelling, 45th Conference on Plasma Physics (EPS 2018),2018/06/02,2018/06/06,Prague,the Czech Republic,poster,
K. Fujii, Experimental evaluation of fractional abundance data for W23+ - W28+, The 7th China-Japan-Korea Joint Seminar on Atomic and Molecular Processes in Plasma (AMPP2018),2018/06/24,2018/06/26,Hefei,China,oral,
K. Fujii, Machine Learning of Noise in LHD Thomson Scattering System, 2nd IAEA Technical Meeting on the Fusion Data Processing,2017/05/30,2017/06/02,Boston,USA,oral,
K. Fujii and M. Hasuo,Bayesian inference for the LHD experiment data,IAEA Technical Meeting on Uncertainly Assessment and Benchmark Experiments for Atomic and Molecular Data for Fusion Applications,2016/12/19,2016/12/21,Vienna,Austria,invited,
M. Hasuo,Visible emission spectroscopy on highly charged tungsten ions in LHD,A3 Foresight Program on Tungsten Workshop,2015/09/24,2015/09/25,Shanghai,China,invited,
"H. Nakamura, K. Sawada, M. Hasuo",Angular Distribution of Hydrogen Generated from Plasma-Facing Material,18th ICPP,2016/06/27,2016/07/01,Kaohsiung,Taiwan,poster,
"K. Fujii, K. Sawada, M. Goto, S. Morita and M. Hasuo",Hydrogen atomic and molecular emission locations and intensities in the LHD edge plasma determined from simultaneously observed polarization spectra,24th International Toki Conference (ITC-24),2014/11/04,2014/11/07,Toki,Japan,oral,
"K. Torii, S. Yamawaki, K. Katayama, S. Namba,K. Fujii, T. Shikama and M. Hasuo",Spatial-resolved absorption spectroscopy on a micro-hollow cathode helium plasma by a vertical-cavity surface-emitting laser,24th International Toki Conference (ITC-24),2014/11/04,2014/11/07,Toki,Japan,poster,
"T.Shikama, T.Nishioka, S.Nagamizo, K.Fujii, H.Zushi, M.Uchida, A.Iwamae, H.Tanaka, T.Maekawa, and M.Hasuo",Development of a compact thermal lithium atom beam source for measurements of electron velocity distribution function anisotropy in ECR plasmas,The 12th Asia Pacific Physics Conference (APPC12),2013/06/01,,Makuhari,Japan,poster,D1-PMo-11
"S.Nagamizo, T.Shikama, K.Fujii, H.Zushi, M.Uchida, A.Iwamae, H.Tanaka, T.Maekawa, and M.Hasuo",Evaluation of electron velocity distribution function anisotropy in an ECR helium plasma by polarization imaging lithium and helium atomic spectral lines,The 12th Asia Pacific Physics Conference (APPC12),2013/06/01,,Makuhari,Japan,poster,D1-PMo-12
